Filter_type,Biological_rep,qPCR_rep,Detection,Cq,Copies,Copies_plus,Log_copiesplus,Log_copiesplus_1,Ave_Cq,Ave_copies,Log_ave_copies,Det_rate,Turbidity,Prefilter,Filtr_vol,Tank_water,Type
GF,B,4,1,38.88,6.69,6.79,0.83,1.83,38.88,6.69,0.83,0.1667,50,Yes,1000,500,50 NTU - PF
GF,B,5,0,NA,0,0.10,-1.00,0.00,38.88,6.69,0.83,0.1667,50,Yes,1000,500,50 NTU - PF
GF,B,6,0,NA,0,0.10,-1.00,0.00,38.88,6.69,0.83,0.1667,50,Yes,1000,500,50 NTU - PF
GF,C,1,1,35.88,50.37,50.47,1.70,2.70,35.71,56.48,1.75,1,50,Yes,1000,500,50 NTU - PF
GF,C,2,1,34.95,94.19,94.29,1.97,2.97,35.71,56.48,1.75,1,50,Yes,1000,500,50 NTU - PF
GF,C,3,1,37.76,14.21,14.31,1.16,2.16,35.71,56.48,1.75,1,50,Yes,1000,500,50 NTU - PF
GF,C,4,1,35.12,84,84.10,1.92,2.92,35.71,56.48,1.75,1,50,Yes,1000,500,50 NTU - PF
GF,C,5,1,35.15,82.33,82.43,1.92,2.92,35.71,56.48,1.75,1,50,Yes,1000,500,50 NTU - PF
GF,C,6,1,35.4,69.58,69.68,1.84,2.84,35.71,56.48,1.75,1,50,Yes,1000,500,50 NTU - PF
PC10,A,1,1,38.69,7.6,7.70,0.89,1.89,38.92,6.5,0.81,0.8333,5,No,1000,500,5 NTU
PC10,A,2,0,NA,0,0.10,-1.00,0.00,38.92,6.5,0.81,0.8333,5,No,1000,500,5 NTU
PC10,A,3,1,37.88,13.11,13.21,1.12,2.12,38.92,6.5,0.81,0.8333,5,No,1000,500,5 NTU
PC10,A,4,1,40.14,2.86,2.96,0.47,1.47,38.92,6.5,0.81,0.8333,5,No,1000,500,5 NTU
PC10,A,5,1,39.54,4.29,4.39,0.64,1.64,38.92,6.5,0.81,0.8333,5,No,1000,500,5 NTU
PC10,A,6,1,38.36,9.49,9.59,0.98,1.98,38.92,6.5,0.81,0.8333,5,No,1000,500,5 NTU
PC10,B,1,1,35.53,63.75,63.85,1.81,2.81,35.83,52.04,1.72,1,5,No,1000,500,5 NTU
PC10,B,2,1,35.73,55.72,55.82,1.75,2.75,35.83,52.04,1.72,1,5,No,1000,500,5 NTU
PC10,B,3,1,36.22,40.07,40.17,1.60,2.60,35.83,52.04,1.72,1,5,No,1000,500,5 NTU
PC10,B,4,1,35.7,56.86,56.96,1.76,2.76,35.83,52.04,1.72,1,5,No,1000,500,5 NTU
PC10,B,5,1,35.77,54.24,54.34,1.74,2.74,35.83,52.04,1.72,1,5,No,1000,500,5 NTU
PC10,B,6,1,36.04,45.23,45.33,1.66,2.66,35.83,52.04,1.72,1,5,No,1000,500,5 NTU
PC10,C,1,1,37.4,18.11,18.21,1.26,2.26,37.77,14.08,1.15,0.8333,5,No,1000,500,5 NTU
PC10,C,2,0,NA,0,0.10,-1.00,0.00,37.77,14.08,1.15,0.8333,5,No,1000,500,5 NTU
PC10,C,3,1,38.55,8.35,8.45,0.93,1.93,37.77,14.08,1.15,0.8333,5,No,1000,500,5 NTU
PC10,C,4,1,38.33,9.69,9.79,0.99,1.99,37.77,14.08,1.15,0.8333,5,No,1000,500,5 NTU
PC10,C,5,1,36.19,40.89,40.99,1.61,2.61,37.77,14.08,1.15,0.8333,5,No,1000,500,5 NTU
PC10,C,6,1,38.4,9.24,9.34,0.97,1.97,37.77,14.08,1.15,0.8333,5,No,1000,500,5 NTU
PC10,A,1,0,NA,0,0.10,-1.00,0.00,38.15,10.93,1.04,0.1667,50,No,450,500,50 NTU
PC10,A,2,0,NA,0,0.10,-1.00,0.00,38.15,10.93,1.04,0.1667,50,No,450,500,50 NTU
PC10,A,3,0,NA,0,0.10,-1.00,0.00,38.15,10.93,1.04,0.1667,50,No,450,500,50 NTU
PC10,A,4,1,38.15,10.93,11.03,1.04,2.04,38.15,10.93,1.04,0.1667,50,No,450,500,50 NTU
PC10,A,5,0,NA,0,0.10,-1.00,0.00,38.15,10.93,1.04,0.1667,50,No,450,500,50 NTU
PC10,A,6,0,NA,0,0.10,-1.00,0.00,38.15,10.93,1.04,0.1667,50,No,450,500,50 NTU
PC10,B,1,0,NA,0,0.10,-1.00,0.00,39.36,4.84,0.69,0.5,50,No,450,500,50 NTU
PC10,B,2,1,40.37,2.45,2.55,0.41,1.41,39.36,4.84,0.69,0.5,50,No,450,500,50 NTU
PC10,B,3,1,39.41,4.68,4.78,0.68,1.68,39.36,4.84,0.69,0.5,50,No,450,500,50 NTU
PC10,B,4,0,NA,0,0.10,-1.00,0.00,39.36,4.84,0.69,0.5,50,No,450,500,50 NTU
PC10,B,5,0,NA,0,0.10,-1.00,0.00,39.36,4.84,0.69,0.5,50,No,450,500,50 NTU
PC10,B,6,1,38.3,9.88,9.98,1.00,2.00,39.36,4.84,0.69,0.5,50,No,450,500,50 NTU
PC10,C,1,1,39.34,4.91,5.01,0.70,1.70,38.82,6.99,0.84,0.6667,50,No,450,500,50 NTU
PC10,C,2,1,37.61,15.72,15.82,1.20,2.20,38.82,6.99,0.84,0.6667,50,No,450,500,50 NTU
PC10,C,3,1,38.91,6.56,6.66,0.82,1.82,38.82,6.99,0.84,0.6667,50,No,450,500,50 NTU
PC10,C,4,0,NA,0,0.10,-1.00,0.00,38.82,6.99,0.84,0.6667,50,No,450,500,50 NTU
PC10,C,5,1,39.4,4.71,4.81,0.68,1.68,38.82,6.99,0.84,0.6667,50,No,450,500,50 NTU
PC10,C,6,0,NA,0,0.10,-1.00,0.00,38.82,6.99,0.84,0.6667,50,No,450,500,50 NTU
PC10,A,1,1,35.06,87.47,87.57,1.94,2.94,35.37,71,1.85,1,50,Yes,750,500,50 NTU - PF
PC10,A,2,1,35.16,81.77,81.87,1.91,2.91,35.37,71,1.85,1,50,Yes,750,500,50 NTU - PF
PC10,A,3,1,35.53,63.75,63.85,1.81,2.81,35.37,71,1.85,1,50,Yes,750,500,50 NTU - PF
PC10,A,4,1,35.57,62.06,62.16,1.79,2.79,35.37,71,1.85,1,50,Yes,750,500,50 NTU - PF
PC10,A,5,1,34.93,95.46,95.56,1.98,2.98,35.37,71,1.85,1,50,Yes,750,500,50 NTU - PF
PC10,A,6,1,35.97,47.41,47.51,1.68,2.68,35.37,71,1.85,1,50,Yes,750,500,50 NTU - PF
